Init_Win_bytes_forward,Bwd Packets/s,Init_Win_bytes_backward,Flow Duration,Packet Length Std,Destination Port,Average Packet Size,Total Length of Bwd Packets,Bwd Packet Length Min,Fwd Header Length,Total Backward Packets,Total Length of Fwd Packets,Bwd Packet Length Mean,Flow IAT Min
65535,0,0,105,338.3023360667722,443,199,0,0,340,0,17,0,0
2047,0,0,60278,5.185449728701348,443,69.66666666666667,0,0,60,0,3,0,220
0,0.008630218518833433,267,70566,4.5,443,101.5,609,97,0,6,0,101.5,8567
0,5.704906345194115,65535,30858,542.0127524808977,443,1248.5248226950355,176042,54,0,141,0,1248.5248226950355,0
2047,0,0,176,12,443,78,0,0,40,0,2,0,0
2698,0,0,98066,601.9624051799736,443,511.79680365296804,0,0,17520,0,876,0,0
65535,0,0,264,227.6666915668157,443,166.14285714285714,0,0,280,0,14,0,0
0,10.961061946902655,26847,565,660.4430406931396,443,619.3,6193,66,0,10,0,619.3,0
65535,0,0,3138,279.2778354524397,443,182.125,0,0,160,0,8,0,0
65535,0,0,266,149.38561250833294,443,129.71428571428572,0,0,280,0,14,0,0
0,0.9579439252336449,65535,8560,319.77621748387213,443,200,8200,66,0,41,0,200,0
65535,0,0,211,159.54803787226246,443,151.08333333333334,0,0,240,0,12,0,0
0,0,3096,0,32,5223,98,196,66,0,2,0,98,0
0,1.5386767939236459,65160,5003,556.8492554842229,443,513.2,7698,66,0,15,0,513.2,0
0,2.3072625698324023,26847,3222,576.0123609784777,443,495.6,7434,66,0,15,0,495.6,0
0,0.09531914893617022,269,12925,26.253042151762568,993,102.66666666666667,1232,66,0,12,0,102.66666666666667,0
0,27.875,65160,296,602.3766780198436,443,550.0666666666667,8251,66,0,15,0,550.0666666666667,0
2047,0,0,90281,24.045529730076648,443,87.75,0,0,320,0,16,0,0
0,28.620689655172413,64980,232,581.8132338244417,443,510.7692307692308,6640,66,0,13,0,510.7692307692308,0
0,50.88142292490119,65160,253,702.119856814585,443,858.2,12873,66,0,15,0,858.2,0
0,33.4739336492891,64308,211,603.8227469400455,443,588.5833333333334,7063,66,0,12,0,588.5833333333334,0
2048,0,0,89233,10.998181667894016,443,61.2,0,0,200,0,10,0,0
65535,0,0,7008,0,7000,78,0,0,140,0,7,0,996
65535,0,0,766,150.42611651214568,443,122.27272727272727,0,0,220,0,11,0,0
0,13.581140350877194,26847,456,660.4430406931396,443,619.3,6193,66,0,10,0,619.3,0
0,0.007398273736128237,133,89210,9.2951600308978,443,66,660,54,0,10,0,66,0
